country,electricity_generation_gwh,carbon_intensity_kg_mwh,carbon_emissions_mton
AT,42767,241.9,10.3453373
BE,57984,361,20.932224
BG,35272,505.8,17.8405776
HR,13303,322.1,4.2848963
CY,1791,837.9,1.5006789
CZ,48177,736,35.458272
DK,28366,631.6,17.9159656
EE,6805,965.2,6.568186
FI,58943,239.1,14.0932713
FR,302046,181,54.670326
DE,455079,665.8,302.9915982
GR,28471,1174.5,33.4391895
HU,31593,431.7,13.6386981
IE,11868,778.2,9.2356776
IT,214627,555.1,119.1394477
LV,8320,82,0.68224
LT,12013,158.9,1.9088657
LU,4127,456.5,1.8839755
MT,910,1237.5,1.126125
NL,72409,606.5,43.9160585
PL,96235,1235.6,118.907966
PT,23544,540.4,12.7231776
RO,54236,756.2,41.0132632
SK,25101,491.2,12.3296112
SI,9242,474.8,4.3881016
ES,125799,451,56.735349
SE,120388,12.6,1.5168888
GB,274432,684,187.711488
